GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Consumer Discretionary,Automobiles & Components,Auto Components,AMERICAN AXLE & MFG HOLDINGS,-105,-22.9,-2.9,3,2,-10.7,9.8,330.1,-144.8,-20.7,66.5,-75.4,-106.8,91.6,95.2
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,AMERICAN GREETINGS  -CL A,-9.319,49.288,107.484,76.987,-35.183,-34.186,-68.9,-21.213,-63.284,77.733,77.889,-83.4,-46.379,,
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,AMERICAN HOMESTAR CORP,-5.307,-21.393,10.073,-17.36,-0.484,-1.852,10.224,-3.69,-6.632,,,,,,
Consumer Discretionary,Consumer Services,Diversified Consumer Services,AMERICAN PUBLIC EDUCATION,,,,,,,6.167,15.273,20.763,27.152,6.486,37.654,-4.105,-20.081,20.814
Consumer Discretionary,Retailing,Distributors,AMERICAN TIRE DISTRBTR HLDGS,-3.17,0.804,-1.438,0.633,0.008,2.211,-1.945,1.149,3.746,-1.205,4.681,3.008,10.972,9.809,-0.025
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMERICAN WAGERING INC,-0.865,0.939,0.712,-0.216,-0.114,-1.777,2.316,-1.221,0.041,-1.274,-0.599,1.154,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMERISTAR CASINOS INC,20.714,4.853,49.475,-12.353,8.303,19.622,-5.005,-2.642,-24.772,22.767,-25.307,14.533,3.673,,
Consumer Discretionary,Automobiles & Components,Auto Components,AMERITYRE CORP,0.019,0.508,0.244,1.716,-0.899,0.531,0.943,2.723,-4.087,-1.673,0.035,0.064,-0.022,0.003,0.62
Consumer Discretionary,Retailing,Specialty Retail,AMERN EAGLE OUTFITTERS INC,56.865,46.952,14.128,56.798,137.974,-88.843,-70.792,56.324,357.281,220.618,-26.367,51.952,-210.426,-90.186,-8.237
Consumer Discretionary,Retailing,Specialty Retail,AMSCAN HOLDINGS INC,0.62,-0.453,1.384,29.062,-27.21,4.493,-3.779,12.308,-4.216,2.362,5.034,1.599,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ANGELCITI ENTERTAINMENT INC,0,-0.788,-0.065,0.102,0.048,-0.048,-0.107,-0.011,,,,,,,
Consumer Discretionary,Retailing,Specialty Retail,ANN INC,-3.119,-1.925,182.784,124.266,35.853,318.242,-20.094,-226.535,-21.705,92.171,22.153,-76.436,16.803,34.696,6.004
Consumer Discretionary,Media,Media,ANTE4 INC,,,0,0,4.525,-2.788,6.623,-4.508,7.813,5.278,,,,,
Consumer Discretionary,Consumer Services,Diversified Consumer Services,APOLLO EDUCATION GROUP INC,8.378,86.021,149.304,121.215,-171.933,-11.062,171.874,30.261,143.876,485.051,316.523,286.895,-295.289,138.11,-185.672
Consumer Discretionary,Retailing,Specialty Retail,APPLIANCE RECYCLING CTR AMER,0.082,0.204,2.296,-1.606,3.166,-2.267,0.658,0.024,0.721,-0.699,0.266,1.336,-1.227,-1.226,1.575
Consumer Discretionary,Media,Media,ARBITRON INC,1.285,17.503,22.052,25.338,18.468,-46.053,-7.208,-11.512,-13.47,-0.441,10.708,0.79,46.754,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ARCHON CORP,-6.723,9.226,-7.597,-2.763,-2.41,-1.326,4.071,21.297,10.489,-6.327,-22.068,,,,
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ARCTIC CAT INC,-17.147,0.585,-10.385,10.964,-23.28,19.31,-3.858,-26.16,1.187,20.567,-17.111,9.438,11.428,-13.042,
Consumer Discretionary,Retailing,Distributors,ARISTOTLE CORP,-0.898,-0.802,6.834,-5.733,-3.423,-0.34,4.011,-0.21,9.686,,,,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ARK RESTAURANTS CORP,0.364,-0.697,0.819,-0.333,3.949,1.288,1.948,-3.662,-1.031,2.474,-3.441,5.769,0.925,0.043,-0.086
Consumer Discretionary,Retailing,Specialty Retail,ASBURY AUTOMOTIVE GROUP INC,2.419,13.265,-37.893,84.098,-78.618,29.101,71.976,-75.816,38.2,-6.9,-63.4,-9.9,-5.2,-0.8,-2.5
Consumer Discretionary,Retailing,Specialty Retail,ASCENA RETAIL GROUP INC,-14.514,13.856,59.092,-46.139,-22.41,27.293,-8.266,32.965,60.093,113.537,-0.122,2.9,-79.2,22.1,-29.5
Consumer Discretionary,Consumer Services,Diversified Consumer Services,ASCENT CAPITAL GROUP INC,,,,,,,-95.272,47.178,139.884,-48.603,-143.057,33.701,-105.136,-33.721,-32.089
