GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Consumer Discretionary,Media,Media,CANWEST GLOBAL COM  -NVTG,28.632,-36.704,26.691,43.922,-31.011,-56.683,229.674,-143.303,-46.263,29.716,,,,,
Consumer Discretionary,Consumer Services,Diversified Consumer Services,CAPELLA EDUCATION CO,,,,,4.14,8.492,8.519,38.109,-29.375,71.18,-24.989,-15.439,31.243,30.877,-30.094
Consumer Discretionary,Retailing,Specialty Retail,CAPSOURCE FINANCIAL INC,0.389,-0.376,0.012,0.032,0.061,0.401,0.043,-0.229,,,,,,,
Consumer Discretionary,Consumer Services,Diversified Consumer Services,CAREER EDUCATION CORP,-11.003,5.933,-6.201,127.761,188.223,-217.15,57.508,47.887,7.153,40.214,4.41,-8.89,-40.032,-49.417,-225.111
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CARIBOU COFFEE CO,,,,2.134,2.839,26.228,-19.094,-4.866,1.174,12.518,-0.486,21.403,,,
Consumer Discretionary,Retailing,Specialty Retail,CARMAX INC,-1.179,-5.516,31.329,27.028,-32.544,4.635,-2.304,-6.49,127.632,-122.319,22.843,401.537,6.706,178.537,-600.295
Consumer Discretionary,Media,Media,CARMIKE CINEMAS INC,58.51,41.665,-40.696,-12.255,15.708,-33.335,2.407,-4.041,-11.108,14.829,-12.63,0.55,54.915,75.336,-46.33
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CARNIVAL CORP/PLC (GBR) -ADR,192.4,-149.4,55.4,29.9,-76.7,611.1,279.7,-226.4,-332.4,-59.9,-103,0,-33,-32,-46
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CARNIVAL CORP/PLC (USA),-332.489,1232.018,-754.6,403,33,535,-15,-220,-293,-112,-109,21,15,-3,-131
Consumer Discretionary,Consumer Services,Diversified Consumer Services,CARRIAGE SERVICES INC,0.693,-0.466,-0.042,-0.678,-0.076,6.001,14.871,-19.374,1.561,-1.391,-2.337,-0.142,0.561,-0.321,-0.964
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CARROLS CORP,0.811,-0.307,0.133,-0.124,29.052,-22.135,-5.392,3.457,-3.997,1.003,-1.258,,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CARROLS RESTAURANT GROUP INC,,,,,,-22.135,-5.392,3.457,-3.997,1.003,-1.258,21.517,13.629,-29.988,12.919
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",CARTER'S INC,,20.995,10.87,0.499,-2.796,51.011,-15.731,-19.533,113.337,172.692,-87.659,-13.888,148.742,-95.69,54.092
Consumer Discretionary,Automobiles & Components,Auto Components,CASH TECHNOLOGIES INC,-0.355,0.42,-0.418,0.019,0.143,-0.021,1.026,-0.697,,,,,,,
Consumer Discretionary,Retailing,Specialty Retail,CATO CORP  -CL A,-5.188,16.571,-9.707,-8.208,-5.217,3.094,3.099,-3.25,20.679,8.123,-1.755,-13.737,-3.824,48.358,14.519
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,CAVALIER HOMES INC,-4.241,7.862,-8.317,-2.546,-0.719,-17.295,11.588,-3.924,9.155,,,,,,
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,CAVCO INDUSTRIES INC,,0,0,30.775,15.682,-31.335,-2.146,60.634,-3.053,4.431,1.525,-35.419,6.729,25.126,
Consumer Discretionary,Media,Media,CBS CORP,253.7,-207.1,-96,219.3,77.5,727.1,1419.3,-1727.7,-927.4,297.2,-236.7,180,48,-311,31
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CEC ENTERTAINMENT INC,4.569,-3.618,8.532,-4.147,3.731,0.386,6.124,0.065,-0.604,-0.408,1.908,-0.596,0.963,1.05,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CEDAR FAIR  -LP,1.754,-0.112,-0.109,0.023,1.159,1.068,25.782,-24.702,8.372,-1.945,-2.163,25.759,43.306,39.226,13.784
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,CENTEX CORP,-78.101,161.964,252.337,-263.032,323.727,-454.631,834.799,-295.916,777.718,,,,,,
Consumer Discretionary,Media,Media,CENTRAL EUROPEAN MEDIA -CL A,0.52,-15.457,27.591,140.67,-39.678,-80.91,74.246,-3.078,-35.379,351.096,-201.904,-57.664,-45.993,-35.397,-68.024
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CENTURY CASINOS INC,6.569,-5.712,1.708,0.147,3.682,28.756,-2.198,-17.119,-8.551,29.157,-15.531,3.731,-0.445,2.601,-2.607
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,CHAMPION ENTERPRISES INC,37.296,19.313,7.925,68.487,-3.602,-15.287,-56.771,65.2,-82.621,,,,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CHAMPPS ENTMT INC,-2.867,-3.112,3.382,0.412,-3.606,1.253,6.747,9.929,,,,,,,
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",CHARLES & COLVARD LTD,-9.335,6.41,3.046,-1.723,1.315,8.13,-7.241,-6.714,-1.461,1.819,0.33,-1.034,5.159,-9.287,1.434
Consumer Discretionary,Retailing,Specialty Retail,CHARLOTTE RUSSE HOLDING INC,0.847,6.202,3.522,9.414,7.746,2.979,56.6,-22.017,-22.75,,,,,,
Consumer Discretionary,Retailing,Specialty Retail,CHARMING SHOPPES INC,22.245,-19.904,65.386,21.755,149.268,-142.917,13.706,-81.996,31.917,92.821,-69.098,51.125,,,
Consumer Discretionary,Media,Media,CHARTER COMMUNICATIONS INC,-3.004,-129.023,319,-194,523,-629,39,15,885,-206,-722,-3,5,14,-18
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",CHAUS (BERNARD) INC,-1.762,-4.263,-0.033,2.5,-2.513,7.595,-7.612,3.257,-3.316,0.065,-0.122,,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CHEESECAKE FACTORY INC,10.258,-20.259,-0.276,4.134,-1.126,17.011,13.738,-7.923,43.498,-6.65,7.904,-33.408,35.358,-21.818,-3.733
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",CHEROKEE INC/DE,0.345,1.796,-1.542,2.998,5.11,0.936,32.669,-22.61,-8.303,-4.233,0.168,-2.166,-4.997,1.21,3.947
Consumer Discretionary,Retailing,Specialty Retail,CHICOS FAS INC,-0.067,9.463,-4.624,6.923,-1.25,-11.391,34.168,-23.402,12.748,10.494,-22.348,44.224,-2.06,-20.415,96.907
Consumer Discretionary,Retailing,Specialty Retail,CHILDRENS PLACE INC,5.937,37.05,-8.546,38.127,112.764,8.127,-56.332,-32.414,144.58,-57.826,15.277,-7.002,17.473,-20.131,-0.706
Consumer Discretionary,Automobiles & Components,Auto Components,CHINA AUTOMOTIVE SYSTEMS INC,,,,5.112,0.434,1.21,15.043,-7.931,17.626,6.367,5.945,23.536,14.688,-33.67,14.526
Consumer Discretionary,Media,Media,CHINA DIGITAL ANIMATION DEV,,0.011,-0.011,0.008,-0.006,-0.003,0,0.001,,-2.458,3.937,-6.202,,,
Consumer Discretionary,Consumer Services,Diversified Consumer Services,CHINA DISTANCE EDUCATION-ADR,,,,,,,-0.425,6.416,59.117,-44.786,37.318,-7.808,-1.224,22.196,46.156
Consumer Discretionary,Automobiles & Components,Auto Components,CHINA ENTERPRISES LTD,-0.564,8.026,-27.902,-21.86,-2.682,-3.314,-0.967,-0.905,-0.059,0.016,-0.022,83.177,-0.97,-12.783,
Consumer Discretionary,Automobiles & Components,Auto Components,CHINA XD PLASTICS CO LTD,,,,,,,,-0.241,3.782,2.982,15.87,112.762,-51.66,11.723,-50.089
Consumer Discretionary,Media,Media,CHINA YIDA HOLDING CO,,,,,,,,-1.489,7.988,-2.938,1.37,-1.462,0.888,-3.243,-1.453
Consumer Discretionary,Consumer Services,Diversified Consumer Services,CHINAEDU CORP -ADR,,,,,,6.069,-0.998,47.816,-20.987,-22.091,-1.917,13.228,18.005,7.586,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CHIPOTLE MEXICAN GRILL INC,,,,0,0,0.061,153.581,-2.466,-63.132,131.522,5.272,176.405,-78.69,0.65,96.262
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CHOICE HOTELS INTL INC,7.851,-2.83,-4.644,7.804,7.523,-11.597,18.92,10.536,6.303,15.19,23.389,15.798,27.12,33.618,47.084
Consumer Discretionary,Retailing,Specialty Retail,CHRISTOPHER & BANKS CORP,12.112,6.077,-32.595,26.676,-1.892,48.322,-8.394,24.501,0.321,-41.741,6.639,-2.93,-0.043,0.335,-3.829
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,CHROMCRAFT REVINGTON INC,-0.707,7.766,-8.207,0,0,0,8.418,0.367,-7.906,2.757,0.543,-4.179,0,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CHURCHILL DOWNS INC,-18.253,4.925,-0.9,1.778,11.272,-4.957,5.584,-12.727,-2.687,0.985,13.258,0.424,9.852,7.531,23.228
Consumer Discretionary,Consumer Services,Diversified Consumer Services,CIBT EDUCATION GROUP INC,,,,,,,,8.99,-1.464,-0.543,1.104,-5.167,1.529,-4.178,-0.782
Consumer Discretionary,Media,Media,CINEDIGM CORP,,-1,-0.045,1.374,2.449,31.862,-7.265,0.279,-3.326,-6.734,1.654,7.095,-4.395,36.767,
Consumer Discretionary,Media,Media,CINEMARK HOLDINGS INC,,,,,,81.951,-35.1,190.944,11.56,88.333,27.061,56.411,221.256,-142.735,38.94
Consumer Discretionary,Media,Media,CINEMARK USA INC,10.968,30.359,13.519,43.601,-7.091,81.952,-35.135,86.338,79.855,124.499,27.028,56.488,220.842,-142.201,38.947
Consumer Discretionary,Media,Media,CINRAM INTL INCOME FUND,-118.77,-21.407,45.783,126.907,-212.034,48.132,62.76,-84.275,4.943,48.723,42.327,-94.302,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CIRCLE ENTERTAINMENT INC,,,,,,,,2.404,0.1,-2.316,0.293,0.205,0.447,-0.752,-0.139
Consumer Discretionary,Retailing,Specialty Retail,CIRCUIT CITY STORES INC,-196.623,810.917,-363.576,-101.199,96.189,-563.69,-174.829,154.914,,,,,,,
Consumer Discretionary,Media,Media,CITADEL BROADCASTING CORP,,-2.465,1.468,1.333,-2.519,3.272,-0.473,196.574,-181.687,38.807,54.183,,,,
Consumer Discretionary,Retailing,Specialty Retail,CITI TRENDS INC,,,,4.129,1.847,-2.722,2.623,-1.504,27.313,29.477,6.238,-27.245,-4.723,21.665,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CKE RESTAURANTS INC,-19.645,7.782,-6.202,35.915,-35.923,2.911,-2.663,1.313,-2.124,0.377,24.34,21.969,,,
Consumer Discretionary,Media,Media,CKX INC,0.28,-0.289,0.001,,0,36.979,-0.369,14.337,50.948,-35.308,42.87,,,,
Consumer Discretionary,Media,Media,CLEAR CHANNEL OUTDOOR HLDGS,,,,-11.636,3.843,70.696,-3.249,29.502,-40.085,514.624,14.582,-81.363,19.324,-247.434,-128.341
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",COACH INC,0.014,3.529,90.271,135.214,33.544,-108.154,-11.178,413.568,141.949,101.457,-203.892,103.312,217.433,145.57,-470.862
Consumer Discretionary,Retailing,Distributors,COAST DISTRIBUTION SYSTEMS,-0.102,0.462,0.995,-1.005,-0.111,0.864,-1.023,0.069,1.07,3.701,-0.721,-0.66,-2.238,0.198,
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,COBRA ELECTRONICS CORP,-0.039,0.621,2.154,1.907,-2.136,4.104,-4.826,-0.018,0.125,-0.58,-0.272,-0.1,0.752,1.274,
Consumer Discretionary,Retailing,Specialty Retail,COLDWATER CREEK INC,-2.933,0.389,21.641,19.124,65.45,20.652,16.824,-86.201,18.751,3.42,-33.037,-0.248,-29.631,,
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",COLE KENNETH PROD INC  -CL A,3.193,-5.642,22.583,19.553,-31.088,-16.267,41.694,-14.788,-25.949,3.801,14.89,-25.352,,,
Consumer Discretionary,Retailing,Specialty Retail,COLLECTIVE BRANDS INC,-153.8,81.9,-17.9,75.4,152.9,105.6,-6.8,-138.9,16.8,144.2,-69.4,-142.8,,,
Consumer Discretionary,Consumer Services,Diversified Consumer Services,COLLECTORS UNIVERSE INC,12.728,-8.706,-0.927,-0.465,16.972,43.985,-13.329,-9.724,-19.041,0.525,-3.549,1.605,-0.712,-2.503,1.198
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",COLUMBIA SPORTSWEAR CO,20.842,43.618,115.588,69.915,25.888,-28.932,-36.211,127.07,38.667,156.047,-152.407,6.777,49.747,146.708,-23.931
Consumer Discretionary,Media,Media,COMCAST CORP,-270.7,-301.5,431,1045,-1098,241,292,-276,232,-524,5313,-4364,9331,-9233,2192
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,COMSTOCK HOLDING COS INC,,,1.609,8.465,50.399,-25.392,-20.904,-14.441,-0.845,-4.892,-0.61,5.164,-2.1,8.356,
Consumer Discretionary,Media,Media,COMTEX NEWS NETWORK INC,1.56,-1.288,0.493,-0.396,,0.764,0.656,-1.301,0.94,-0.144,,,,,
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,CONCORD CAMERA CORP,-6.316,33.085,46.393,-65.647,4.252,-10.307,-1.221,-2.942,15.188,,,,,,
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,CONGOLEUM CORP  -CL A,-6.131,2.62,3.02,-16.108,27.541,-5.199,-5.92,7.736,-11.25,0.988,,,,,
Consumer Discretionary,Retailing,Specialty Retail,CONN'S INC,,,0.877,10.494,-5.915,38.149,11.394,-45.555,0.783,0.345,-1.27,-4.712,-2.416,1.878,6.496
Consumer Discretionary,Automobiles & Components,Auto Components,CONTINENTAL AG  -ADR,-133.591,358.087,-197.642,387.736,484.911,201.551,-927.353,2377.806,-876.897,205.521,-320.446,90.681,1128.722,-485.573,1450.91
Consumer Discretionary,Automobiles & Components,Auto Components,COOPER TIRE & RUBBER CO,-25.332,26.04,-27.087,21.678,815.302,-601.016,-59.057,124.292,-98.275,179.309,-13.622,-179.649,118.107,45.914,153.921
Consumer Discretionary,Retailing,Distributors,CORE MARK HOLDING CO INC,,,,,,3.8,-10.1,1.4,-5.6,2,-1.6,-0.9,3.9,-8.1,3.4
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,COREWAFER INDUSTRIES INC,-0.439,-0.132,0.081,0.277,-0.028,-0.663,0.147,-0.326,-0.027,,,,,,
Consumer Discretionary,Consumer Services,Diversified Consumer Services,CORINTHIAN COLLEGES INC,3.099,14.852,21.023,-4.86,10.798,11.154,-21.058,62.994,-67.785,128.272,48.889,-101.989,-34.905,-25.929,
Consumer Discretionary,Media,Media,CORUS ENTERTAINMENT INC,252.759,-240.574,13.132,12.44,39.007,36.034,-85.351,-9.743,-12.892,-7.951,-2.775,49.017,-31.773,58.265,-64.175
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",COSI INC,-1.923,-0.593,8.563,-5.075,-6.867,0.863,-1.014,5.37,-0.72,-1.51,6.228,-3.085,8.195,-9.396,15.539
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,COSMO COMMUNICATIONS CORP,0.615,-0.197,0.52,-0.045,-0.141,-0.08,0.564,-0.6,-0.068,0.191,-0.26,-0.026,,,
Consumer Discretionary,Retailing,Specialty Retail,COST PLUS INC,0.404,6.605,4.287,2.724,-9.513,-2.536,-27.685,-9.414,0.424,-1.105,0.089,3.179,,,
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",COSTA INC   -CL A,0.957,-1.15,-3.506,-0.85,2.139,0.64,0.233,2.265,5.057,-8.186,6.207,9.341,1.129,,
Consumer Discretionary,Media,Media,COX RADIO INC  -CL A,-7.754,1.011,-3.28,-0.479,-0.972,0.225,0.926,-2.372,-1.406,,,,,,
Consumer Discretionary,Consumer Services,Diversified Consumer Services,CPI CORP,-10.726,7.735,11.367,-6.911,-17.128,0.386,-7.975,32.883,-35.512,-4.752,-13.55,3.161,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CRACKER BARREL OLD CTRY STOR,-4.397,-2.058,3.267,-0.685,14.386,-11.602,72.389,-73.582,-2.27,-0.369,36.091,4.574,99.688,-30.244,-2.357
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,CRAFTMADE INTERNATIONAL INC,-0.392,-0.342,-0.099,2.845,0.846,3.307,-6.981,-1.236,0.341,-0.885,-0.213,,,,
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",CROCS INC,,,,0.253,0.728,3.733,37.869,-6.321,15.33,25.678,68.24,112.004,36.761,22.796,-49.632
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",CROWN CRAFTS INC,-0.357,-0.2,-0.194,-0.187,0.948,2.835,-3.757,7.897,7.319,-15.174,0.13,0.009,0.126,0.22,
Consumer Discretionary,Media,Media,CROWN EQUITY HOLDINGS INC,,0,0,0,0,0,0,0.049,-0.046,0.247,-0.1,-0.065,-0.083,0,
Consumer Discretionary,Media,Media,CROWN MEDIA HOLDINGS INC,30.409,-20.415,-13.524,3.971,7.796,3.824,-1.961,-11.991,0.74,7.742,20.109,4.616,8.524,20.045,-2.862
Consumer Discretionary,Media,Media,CSC HOLDINGS LLC,-24.725,70.05,-17.907,201.022,539.854,-376.51,19.635,-58.242,-37.08,18.935,142.834,344.14,-322.417,394.314,162.338
Consumer Discretionary,Retailing,Specialty Retail,CSK AUTO CORP,-0.631,4.953,-0.565,21.702,19.327,-38.265,2.205,-3.649,,,,,,,
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,CSS INDUSTRIES INC,-2.234,-21.681,31.975,41.21,-35.858,0.323,42.435,-71.982,-25.93,25.038,23.19,17.558,20.973,-18.908,
Consumer Discretionary,Media,Media,CTC MEDIA INC,,,,,0.785,-14.377,161.242,130.531,-209.018,-13.614,-24.876,-47.234,42.85,-24.607,7.262
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,CTI INDUSTRIES CORP,0.262,-0.282,0.05,0.169,0.197,-0.264,0.123,0.099,-0.303,0.69,-0.109,-0.423,0.013,0.316,-0.516
Consumer Discretionary,Retailing,Internet & Catalog Retail,CTRIP.COM INTL LTD  -ADR,,-5.618,-0.427,52.32,17.387,14.769,14.009,30.163,0.793,53.442,108.987,214.413,-13.145,613.974,
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",CULP INC,0.2,30.786,-17.638,0.213,-9.461,4.607,0.455,-5.255,6.883,6.498,4.886,1.842,-1.493,5.773,
Consumer Discretionary,Media,Media,CUMULUS MEDIA INC,-208.602,-5.671,55.072,-53.66,25.24,-26.839,-2.729,29.894,20.717,-36.779,-3.41,17.778,57.458,-55.258,-25.521
Consumer Discretionary,Automobiles & Components,Automobiles,CVF TECHNOLOGIES CORP,-3.062,-0.073,-0.184,0.008,-0.113,6.405,-4.185,-1.598,,,,,,,
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,CYBEX INTERNATIONAL INC,2.789,-2.039,-1.099,0.533,1.077,-1.019,0.612,-0.81,1.019,5.251,0.151,4.928,,,
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",CYGNE DESIGNS INC,-3.92,0.18,0.052,0.735,0.23,-2.598,0.732,-1.581,,,,,,,
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,D R HORTON INC,-56.043,166.755,-134.936,478.561,-64.9,631.8,-562.2,-318,1117.7,570,-648,-576.7,315.1,-111.2,-315.6
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,DAC TECHNOLOGIES GRP INTL IN,0.012,0.046,-0.059,0.091,0.063,-0.037,0.208,0.064,0.197,-0.168,,,,,
Consumer Discretionary,Media,Media,DAILY JOURNAL CORP,0.199,2.521,-2.388,-0.022,-0.201,0.181,0.146,0.452,-0.075,0.431,2.19,-0.557,-2.073,10.353,4.072
Consumer Discretionary,Automobiles & Components,Automobiles,DAIMLER AG,-1576,3840.782,-1693.328,2099.92,-4583.967,281.84,-707.359,10546.287,-12135.976,4139.082,1463.571,-1721.517,1872.412,78.54,-1677.199
Consumer Discretionary,Consumer Services,Diversified Consumer Services,DALE JARRETT RACING ADVTR,-0.049,-0.071,0,0.161,0.275,0.05,0.062,0.948,-0.801,0.022,0.025,-0.154,-0.013,-0.014,
Consumer Discretionary,Automobiles & Components,Auto Components,DANA HOLDING CORP,68,20,372,160,-97,128,-43,566,-494,170,187,-159,128,197,-108
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",DARDEN RESTAURANTS INC,35.712,91.061,-104.245,-11.936,6.107,-0.467,-12.1,13,19.7,185.9,-178.3,0,17.7,10.1,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",DAVE & BUSTER'S ENTMT INC,0.088,1.342,-1.991,1.367,3.727,,,,,,,,2.433,1.963,32.796
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",DECKERS OUTDOOR CORP,7.424,7.632,-12.748,2.721,3.717,40.37,-16.494,20.27,122.279,139.058,129.364,-181.62,-153.359,126.878,
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,DECORATOR INDUSTRIES INC,-0.177,2.012,-0.202,1.874,-3.261,-0.24,-0.479,0.006,,0.14,,,,,
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,DEER VALLEY CORP,0.865,-0.082,0.101,-0.179,0.063,-0.065,7.431,-2.653,4.183,-0.457,-2.404,-0.457,-0.836,0.673,1.009
Consumer Discretionary,Retailing,Internet & Catalog Retail,DELIAS INC,-14.864,17.794,-27.987,,5.589,-3.98,26.351,-17.475,81.113,-50.866,-13.572,0.352,-11.614,-13.532,
Consumer Discretionary,Automobiles & Components,Auto Components,DELPHI AUTOMOTIVE PLC,-786,-3,257,-134,71,1271,-554,-572,-77,2148,112,-1856,-258,284,-485
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",DELTA APPAREL INC,0.013,-0.25,3.937,-3.899,0.13,-0.035,0.344,0.15,-0.206,0.068,0.033,-0.031,-0.189,0.131,-0.217
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",DELTA GALIL INDS LTD  -ADR,3.656,4.129,1.729,3.208,4.451,-7.555,-4.253,6.334,-12.452,23.669,18.322,19.545,-20.285,51.871,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",DENNYS CORP,-138.568,-20.564,-0.979,1.646,8.198,12.675,-2.01,-4.661,-0.523,5.483,2.549,-15.334,-0.175,-10.622,0.131
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,DESARROLLADORA HOMEX -ADR,,,1.963,13.663,27.919,68.412,88.808,-16.017,-79.145,151.883,14.844,39.956,-133.522,,
Consumer Discretionary,Retailing,Specialty Retail,DESTINATION MATERNITY CORP,1.936,7.282,4.401,5.972,-7.264,-5.43,15.867,-8.774,2.018,8.478,4.007,-9.348,7.091,2.179,-11.975
Consumer Discretionary,Retailing,Specialty Retail,DESTINATION XL GROUP INC,0,0,4.692,-0.513,1.552,-0.163,-0.243,-0.032,-0.34,-0.651,-0.188,6.239,-2.191,-3.618,0.042
Consumer Discretionary,Consumer Services,Diversified Consumer Services,DEVRY EDUCATION GROUP INC,-5.997,3.362,30.472,49.014,52.756,15.596,-31.24,-1.428,88.044,-51.997,142.5,139.443,-273.069,23.068,161.044
Consumer Discretionary,Media,Media,DEX MEDIA INC,53.047,-40.716,-6.934,-0.065,3.033,-2.962,148.456,-110.173,85.123,534.741,-538.088,130.087,-85.899,-16,15
Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",DGSE COMPANIES INC,1.011,-0.299,-0.564,0.237,-0.42,0.728,0.167,-0.674,-0.292,1.227,-0.575,5.337,-1.066,-1.696,-0.453
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",DIAMONDHEAD CASINO CORP,0.879,1.416,-1.021,-0.855,-0.388,0.051,0.919,-0.68,-0.444,-0.254,0.056,,,,
Consumer Discretionary,Retailing,Specialty Retail,DICKS SPORTING GOODS INC,2.634,0.697,2.144,82.554,-74.788,17.678,99.378,-85.635,24.53,150.774,320.441,188.35,-389.188,-163.483,39.948
Consumer Discretionary,Retailing,Multiline Retail,DILLARDS INC  -CL A,-4.741,-41.02,-10.604,18.517,337.375,-198.408,-105.846,-105.082,7.911,244.87,1.598,-119.019,-100.212,113.074,166.618
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",DINEEQUITY INC,3.032,-0.956,92.487,-70.743,16.035,-20.92,-3.595,7.322,87.605,-32.129,19.995,-41.618,3.846,41.474,-2.007
Consumer Discretionary,Media,Media,DIRECTV,1269.9,-808,428.5,1134.7,1050.5,1393.9,-1202.3,-1416,922,600,-1103,-629,1029,278,2455
Consumer Discretionary,Media,Media,DISCOVERY COMMUNICATIONS INC,,,,-3.399,25.842,228.711,-95.577,54.674,-109,523,-157,582,153,-793,-41
Consumer Discretionary,Media,Media,DISH DBS CORP,-68.189,-52.52,228.64,700.471,-456.183,70.406,1084.744,-1060.14,-384.25,0.225,409.04,-108.194,3025.315,870.088,2467.665
Consumer Discretionary,Media,Media,DISH NETWORK CORP,-48.481,821.071,-194.811,-192.219,-586.299,-88.891,1307.436,-742.287,-820.968,7.27,534.828,-31.564,2997.032,1103.042,2395.314
Consumer Discretionary,Media,Media,DISNEY (WALT) CO,428,-224,621,344,459,-319,688,1259,-669,416,-695,463,202,544,-510
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",DIVERSIFIED RESTAURANT HLDGS,,,,,,,,-0.794,-0.142,0.516,-0.289,0.179,1.163,6.862,9.126
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",DIVERSIFIED ROYALTY CORP,-5.024,-0.451,10.271,-5.17,2.156,-5.136,-4.268,1.014,-1.068,14.38,47.305,-6.169,5.156,4.836,-29.729
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,DIXIE GROUP INC,-9.95,-1.179,1.028,8.618,-11.058,0,0.538,-0.111,-0.314,-0.057,0.188,0.054,0.193,-0.236,0.139
Consumer Discretionary,Retailing,Multiline Retail,DOLLAR GENERAL CORP,107.568,99.215,-140.207,276.96,-113.069,-32.221,-11.321,260.536,277.786,-155.919,275.37,-371.32,14.683,364.757,74.257
Consumer Discretionary,Retailing,Multiline Retail,DOLLAR TREE INC,-0.034,55.487,55.539,-68.617,22.342,-40.698,19.2,-44.4,323.8,207.2,-260.4,-22.9,111.6,-132.2,596.4
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,DOMINION HOMES INC,-0.756,3.513,-1.498,0.904,1.685,-3.156,-0.522,-0.965,,,,,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",DOMINO'S PIZZA INC,,,-32.627,20.256,-5.995,26.523,-28.697,-26.878,34.028,-2.98,5.553,2.347,4.521,-40.43,16.472
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,DOREL INDUSTRIES INC,0.587,11.97,35.81,-40.573,-2.589,1.057,13.58,-3.412,-5.547,2.881,-4.099,14.016,8.547,1.763,7.027
