Industry,Company,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Consumer Durables and Apparel,BEAZER HOMES USA INC,0.409,0.362,0.365,0.397,0.39,0.335,0.361,0.351,0.403,0.473,0.661,0.744,0.637,0.753,0.756,0.761
Consumer Durables and Apparel,BLYTH INC,0.22,0.275,0.262,0.241,0.199,0.261,0.268,0.333,0.279,0.238,0.254,0.211,0.221,0.194,0.18,0.153
Consumer Durables and Apparel,BRUNSWICK CORP,0.24,0.218,0.228,0.203,0.182,0.169,0.17,0.157,0.163,0.167,0.227,0.314,0.31,0.278,0.236,0.158
Consumer Durables and Apparel,CTI INDUSTRIES CORP,0.488,0.529,0.431,0.413,0.413,0.491,0.559,0.574,0.568,0.53,0.571,0.516,0.418,0.399,0.43,0.484
Consumer Durables and Apparel,CULP INC,0.429,0.401,0.386,0.377,0.351,0.263,0.287,0.303,0.255,0.145,0.178,0.104,0.089,0.069,0.049,0.031
Consumer Durables and Apparel,D R HORTON INC,0.512,0.504,0.499,0.516,0.478,0.407,0.389,0.392,0.41,0.379,0.486,0.485,0.366,0.318,0.344,0.396
Consumer Durables and Apparel,DELTA GALIL INDS LTD  -ADR,0.157,0.107,0.226,0.283,0.297,0.265,0.342,0.377,0.349,0.352,0.364,0.299,0.29,0.271,0.249,0.267
Consumer Durables and Apparel,DGSE COMPANIES INC,0.305,0.493,0.349,0.42,0.373,0.312,0.328,0.352,0.361,0.385,0.514,0.479,0.241,0.216,0.214,0.172
Consumer Durables and Apparel,DIXIE GROUP INC,0.437,0.4,0.476,0.436,0.359,0.288,0.306,0.34,0.336,0.314,0.379,0.387,0.379,0.387,0.43,0.449
Consumer Durables and Apparel,DOREL INDUSTRIES INC,0.287,0.235,0.455,0.415,0.154,0.262,0.319,0.293,0.238,0.158,0.229,0.176,0.172,0.16,0.156,0.176
Consumer Durables and Apparel,ELECTROLUX AB  -ADR,0.349,0.287,0.288,0.243,0.18,0.158,0.131,0.101,0.107,0.16,0.179,0.187,0.157,0.181,0.168,0.193
Consumer Durables and Apparel,ELLIS PERRY INTL INC,0.308,0.57,0.564,0.516,0.587,0.535,0.453,0.455,0.4,0.3,0.382,0.277,0.335,0.273,0.23,0.258
Consumer Durables and Apparel,ESCALADE INC,0.26,0.333,0.374,0.229,0.295,0.28,0.206,0.157,0.219,0.212,0.315,0.217,0.148,0.169,0.179,0.199
Consumer Durables and Apparel,ETHAN ALLEN INTERIORS INC,0.031,0.022,0.033,0.015,0.014,0.014,0.014,0.02,0.25,0.253,0.266,0.314,0.322,0.263,0.24,0.213
