Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,ACORN INTERNATIONAL INC -ADR,NA,NA,NA,NA,NA,0.01,0,0.003,0.012,0.012,0.01,0.018,0.003,0.055,0.068,0,NA
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,ACORN PRODUCTS INC,0.511,0.662,0.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,ACQUITY GROUP LTD  -ADR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
Consumer Discretionary,Retailing,Distributors,ACR GROUP INC,0.466,0.435,0.426,0.394,0.411,0.326,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ACRES GAMING INC,0,0,0.227,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,ACT TELECONFERENCING INC,0.273,0.283,0.274,0.338,0.421,0.498,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ACTION PERFORMANCE COS INC,0.429,0.206,0.121,0.093,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,ACTIONVIEW INTERNATIONAL-OLD,NA,0.635,NA,0.051,0.056,0.799,13.179,0.112,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,ACTV INC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ACUSHNET HOLDINGS CORP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514,0.475,NA
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,ADAMS GOLF INC,0,0,0,0.003,0.001,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,ADAMS OUTDOOR ADVERTSG  -LP,1.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,ADELPHIA COMMUN  -CL A,0.586,NA,NA,0.026,0.051,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Automobiles & Components,Auto Components,ADIENT PLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,0.006,0.273
Consumer Discretionary,Retailing,Specialty Retail,ADVANCE AUTO PARTS INC,0.443,0.508,0.375,0.24,0.248,0.239,0.238,0.246,0.207,0.077,0.099,0.114,0.131,0.189,0.206,0.149,NA
Consumer Discretionary,Retailing,Specialty Retail,ADVANCE STORES CO INC,0.383,0.462,0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Automobiles & Components,Auto Components,ADVANCED ACCESSORY HLDGS CP,0.724,0.686,0.691,0.541,0.685,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Automobiles & Components,Auto Components,ADVANCED ENGINE TECHNOLOGIES,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,ADVANCED LIGHTING TECH INC,0.543,0.518,0.721,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Retailing,Distributors,ADVANCED MARKETING SERVICES,0,0.062,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,ADVANSTAR COMMUNICATIONS INC,0.59,0.57,0.644,0.636,0.673,0.602,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,ADVERTISING.COM INC-REDH,NA,NA,0.015,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,ADVO INC,0.657,0.587,0.518,0.368,0.293,0.261,0.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AEGEA INC -OLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.25,1.996,NA,NA,NA
Consumer Discretionary,Media,Media,AEGIS COMMUNICATIONS GROUP,0.337,0.246,0.437,0.517,0.843,0.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Media,Media,AEGIS GROUP PLC  -ADR,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consumer Discretionary,Automobiles & Components,Auto Components,AERO PERFORMANCE PRODUCTS,NA,NA,0.473,NA,0.642,0.544,0.468,0,4.161,NA,NA,NA,NA,NA,NA,NA,NA
