GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN OIL & GAS INC,,,,0,0,0,0,0,0,0,,,,,,,,7
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN RESOURCES OFFSHORE,0.697,,,,,,,,,,,,,,,,,1
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN SANDS ENERGY CORP,,,,,,,,,,,,,,0.001,0,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",AMERICAN STANDARD ENERGY CP,,,,,,,,,,,0,0.076,0.234,,,,,3
Energy,Energy,"Oil, Gas & Consumable Fuels",AMYRIS INC,,,,,,,,,0.068,0.169,0.035,0.149,0.44,0.771,1.079,1.422,,8
Energy,Energy,"Oil, Gas & Consumable Fuels",ANADARKO PETROLEUM CORP,0.24,0.301,0.3,0.246,0.19,0.163,0.391,0.304,0.252,0.254,0.252,0.294,0.252,0.243,0.245,0.339,,16
Energy,Energy,"Oil, Gas & Consumable Fuels",ANDATEE CHINA MARINE FUEL,,,,,,,,0.224,0.477,0.246,0.341,0.343,0.322,0.753,,,,7
Energy,Energy,"Oil, Gas & Consumable Fuels",ANDERSON EXPLORATION LTD,0.292,0.233,,,,,,,,,,,,,,,,2
Energy,Energy,"Oil, Gas & Consumable Fuels",ANR PIPELINE CO,0.29,0.39,0.266,0.35,0.327,0.283,0.27,,,,,,,,,,,7
Energy,Energy,"Oil, Gas & Consumable Fuels",ANTERO MIDSTREAM PARTNERS LP,,,,,,,,,,,,,0.002,0.01,0,0.313,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",ANTERO RESOURCES CORP,,,,,,,,,,,,,0.406,0.314,0.377,0.333,,4
Energy,Energy,"Oil, Gas & Consumable Fuels",APACHE CORP,0.296,0.251,0.228,0.187,0.167,0.114,0.157,0.148,0.169,0.18,0.187,0.139,0.203,0.158,0.201,0.466,,16
Energy,Energy,"Oil, Gas & Consumable Fuels",APCO OIL AND GAS INTL INC,0,0,0,0,0,0,0,0,0,0,0,0.007,0.024,0.02,,,,14
Energy,Energy,"Oil, Gas & Consumable Fuels",APOLLO RESOURCES INTL INC,0,0,0,0,0.25,0.179,,,,,,,,,,,,6
Energy,Energy,"Oil, Gas & Consumable Fuels",APPROACH RESOURCES INC,,,,,,0.271,0.317,0,0.129,0.101,0,0.072,0.124,0.218,0.285,0.423,,11
Energy,Energy,"Oil, Gas & Consumable Fuels",ARC LOGISTICS PARTNERS LP,,,,,,,,,,,,0.163,0.231,0.311,0.335,0.349,,5
Energy,Energy,"Oil, Gas & Consumable Fuels",ARCH COAL INC,0.521,0.355,0.342,0.296,0.31,0.322,0.353,0.363,0.33,0.373,0.33,0.396,0.512,0.573,0.612,1.006,,16
Energy,Energy,Energy Equipment & Services,ARCHROCK INC,0.168,0.262,0.298,0.611,0.595,0.517,0.446,0.34,0.412,0.427,0.4,0.407,0.368,0.355,0.417,0.587,,16
Energy,Energy,Energy Equipment & Services,ARCHROCK PARTNERS LP,,,,,0,0,0.614,0.513,0.665,0.603,0.552,0.55,0.585,0.554,0.647,0.712,,12
Energy,Energy,"Oil, Gas & Consumable Fuels",ARDMORE SHIPPING CORP,,,,,,,,,,,,0.597,0.373,0.333,0.409,0.533,,5
Energy,Energy,"Oil, Gas & Consumable Fuels",ARENA RESOURCES INC,0.24,0.008,0,0.04,0.286,0.005,0.112,0.1,0,0,,,,,,,,10
Energy,Energy,"Oil, Gas & Consumable Fuels",ARETE INDUSTRIES INC,,1.056,0.158,0.135,0.429,6.4,1.232,0.992,1.158,1.367,0.848,0.036,0.085,0.279,0.246,0.212,,15
Energy,Energy,"Oil, Gas & Consumable Fuels",ARLINGTON TANKERS LTD,,,0.93,0.916,0.461,0.471,0.632,0.657,,,,,,,,,,6
Energy,Energy,"Oil, Gas & Consumable Fuels",ASALLIANCES BIOFUELS -REDH,,,,,,0,,,,,,,,,,,,1
