GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BELLSOUTH CORP,0.284,0.248,0.152,0.136,0.134,0.157,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,BIPER SA DE CV  -ADR,0.212,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,BOINGO WIRELESS INC,,,,,,,,,,,0.374,0.47,0.453,0.696,1.05,0.923,,6
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,BOSTON COMMUNICATIONS GROUP,0.532,0.207,0.598,0.731,0.324,0.328,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BRASIL TELECOM PART  -ADR,0.4,0.227,0.097,0.142,0.262,0.233,0.19,0.242,0.195,,,,,,,,,9
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BROADBAND WIRELESS INTL CORP,,2.667,10.632,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BROADCAST INTERNATIONAL INC,0.112,0.095,0,0.862,0.078,0.171,0.296,1.176,2.963,1.069,0.044,0.195,0.122,0,,,,14
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BROADVIEW NETWORKS HLDG INC,,,,,,,0.585,0.495,0.514,0.396,0.344,0.354,0.258,0.328,0.388,0.434,,10
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BROADWING CORP,4.055,0.916,0.139,0.268,0.641,0.193,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BT GROUP PLC  -ADR,0.233,0.189,0.178,0.197,0.203,0.17,0.241,0.223,0.145,0.173,0.188,0.176,0.164,0.183,0.156,0.177,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BTI TELECOM CORP,0.838,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CA NAC TELEFONOS VENEZ  -ADR,0.099,0.058,0.069,0.026,0.111,0.191,0.298,,,,,,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CABLE & WIRELESS PLC  -ADR,0.256,0.238,0.191,0.206,0.291,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CALL-NET ENTERPRISES  -CL B,0.155,0.111,0.105,0.09,0.115,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CAPSULE COMMUNICATIONS INC,0.139,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CARDINAL COMMUNICATIONS INC,0.116,0.174,0.936,5.242,1.094,0.198,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CARRIER1 INTL SA  -ADR,1.035,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CBEYOND INC,,,,,0.194,0.411,0.738,0.755,0.687,0.479,0.453,0.515,0.384,0.357,,,,10
