GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Real Estate,Real Estate,Real Estate Management & Development,MONGOLIA GROWTH GROUP LTD,,,,,,,,,,,,,0.243,0.022,0.179,0.014,,4
Real Estate,Real Estate,Real Estate Management & Development,NAM TAI PROPERTY INC,0.08,0.807,0.263,0.225,0.554,0.33,0.236,0.131,0.278,0.25,0.052,0.592,0.391,0.024,0.034,0.091,0.227,17
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),NATIONAL STORAGE AFFILIATES,,,,,,,,,,,,,,,,2.111,,1
Real Estate,Real Estate,Real Estate Management & Development,NEW ENGLAND REALTY ASSC  -LP,0.065,0.037,0.079,0.166,0.167,0.025,0.027,0.065,0.104,0.032,0.024,0.137,0.024,0.284,0.037,0.086,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),NORTHSTAR REALTY FINANCE CP,,,,,,,,,,,,,,,0,,,1
Real Estate,Real Estate,Real Estate Management & Development,OMAGINE INC,0.437,0.25,0,9.167,0.286,0.05,0.148,1.625,0,0.143,0.111,0,4.5,1,0.273,0.6,,16
Real Estate,Real Estate,Real Estate Management & Development,OPTIBASE LTD,0.53,0.312,0.156,0.097,0.361,0.598,0.476,0.556,0.232,0.225,0,0,0,0,0,0.17,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),OUTFRONT MEDIA INC,,,,,,,,,,,,,,0.072,0.085,0.076,,3
Real Estate,Real Estate,Real Estate Management & Development,PGI INC,,,,,,,,0,0,0,0,0,0,0,0,0,,9
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),POTLATCH CORP,0.085,0.026,0.028,0.068,0.043,0.108,0.054,0.262,0.061,0.025,0.025,0.031,0.056,0.045,0.801,0.048,,16
Real Estate,Real Estate,Real Estate Management & Development,PRIME ACQUISITION CORP,,,,,,,,,,,,0,1,1.25,0,0,,5
Real Estate,Real Estate,Real Estate Management & Development,PRIME GLOBAL CAPITAL GROUP,,,,,,,,,,,,,118.069,0.92,0.002,0.005,,4
Real Estate,Real Estate,Real Estate Management & Development,PROGREEN US INC,,,0.04,0.882,4.4,0.09,0.029,0.096,0.036,0.229,4.837,0.054,0,0,0,0,,14
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),PUBLIC STORAGE,,,,,,0,,,,,,,,,,,,1
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),RAIT FINANCIAL TRUST,,,2.006,0.175,0.251,0.142,0,,,,,,,,,,,5
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),RAYONIER INC,0.047,0.043,0.045,0.055,0.119,0.072,0.314,0.084,0.232,0.057,0.094,0.334,0.237,0.141,0.087,0.074,,16
Real Estate,Real Estate,Real Estate Management & Development,RE/MAX HOLDINGS INC,,,,,,,,,,,,,0.09,0.333,0.784,1.333,,4
Real Estate,Real Estate,Real Estate Management & Development,REALBIZ MEDIA GROUP INC,,,,,,,,,,,,,,,0.107,0.391,,2
Real Estate,Real Estate,Real Estate Management & Development,REALOGY HOLDINGS CORP,,,,,,,0.428,0.298,0.136,0.145,0.232,0.263,0.327,0.33,0.346,0.361,,10
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),REALTY INCOME CORP,,,,,,,,0,0,0,0,0,0,0,0,0,,9
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),RLJ LODGING TRUST,,,,,,,,,,,0.034,0.073,,,,,,2
Real Estate,Real Estate,Real Estate Management & Development,RMR GROUP INC,,,,,,,,,,,,,,,0.18,0.204,0.229,3
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),RYMAN HOSPITALITY PPTYS INC,0.38,0.361,0.186,0.201,0.099,0.096,0.21,0.353,0.18,0.022,0.091,0.06,0.043,,,,,13
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),SOTHERLY HOTELS INC,,,,0.045,0,,,,,,,,,,,,,2
Real Estate,Real Estate,Real Estate Management & Development,ST JOE CO,0.224,,0.172,0.009,0.097,0.136,0.02,0.016,0.002,0.003,0.002,0.003,0.001,0.06,0.064,0.027,,15
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),STAG INDUSTRIAL INC,,,,,,,,,,,0.008,0,,,,,,2
Real Estate,Real Estate,Real Estate Management & Development,STRATUS PROPERTIES INC,0.059,0.248,0.09,0.068,0.166,0.272,0.348,0.202,0.091,0.69,0.745,0.088,0.02,0.01,0.033,0.277,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),SUMMIT HOTEL PROPERTIES INC,,,,,,,,,,,0.006,0.179,0.495,0.001,,,,4
Real Estate,Real Estate,Real Estate Management & Development,SUNRISE REAL ESTATE GRP INC,,,,,,,,,0.148,0.003,0.212,0.01,3.038,0.02,,,,6
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),SUNSTONE HOTEL INVESTORS INC,,,,,0,,0,0,0,0,0,0,0,0,0,0,,11
Real Estate,Real Estate,Real Estate Management & Development,TEJON RANCH CO,0.196,0.339,0.168,0.134,0.098,0.186,0.177,0.217,0.405,0.321,0.118,0.116,0.161,0.147,0.169,0.099,,16
Real Estate,Real Estate,Real Estate Management & Development,TOWER PROPERTIES CO,0.046,0.028,0.048,0.366,0.04,0.224,0.064,0.047,0.193,0.048,0.031,0.064,,,,,,12
Real Estate,Real Estate,Real Estate Management & Development,TRINITY PLACE HOLDINGS INC,0.037,0.053,0.021,0.018,0.022,0.035,0.071,0.094,0.134,0.116,0.122,,,,,,,11
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),VEREIT INC,,,,,,,,,,,,,,,,0,,1
Real Estate,Real Estate,Real Estate Management & Development,VOLTARI CORP,,,,,,,,,,0.132,0.31,0.396,0.075,0.082,0.013,5.441,,7
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),W P CAREY INC,0.047,0.063,0.032,0.022,0.278,0.006,,,0.024,0.083,0.204,0.069,0.016,0,,0.457,,13
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),WEYERHAEUSER CO,0.099,0.078,0.1,0.044,0.037,0.059,0.065,0.062,0.055,0.029,0.037,0.033,0.041,0.043,0.042,0.056,,16
Real Estate,Real Estate,Real Estate Management & Development,XEMEX GROUP INC,10,0.013,0.479,0.014,0.005,0.675,4.478,0.176,,,,,,,,,,8
Real Estate,Real Estate,Real Estate Management & Development,XINYUAN REAL ESTATE CO -ADR,,,,,,,0.182,0.287,0.786,0.027,0.045,0.052,0.017,0.141,0.055,0.021,,10
Real Estate,(All),(All),Average By Sector,0.5881111111111111,0.1542391304347826,0.20328,0.30023214285714284,0.30540983606557376,3.2929047619047616,8.330421875,3.5504179104477616,3.5944202898550723,5.085893333333334,0.16307407407407407,0.12578048780487805,1.7551463414634147,0.17475903614457833,0.2802826086956522,0.4820625,0.34845454545454546,17
Real Estate,Real Estate,(All),Average by Industry Group,0.5881111111111111,0.1542391304347826,0.20328,0.30023214285714284,0.30540983606557376,3.2929047619047616,8.330421875,3.5504179104477616,3.5944202898550723,5.085893333333334,0.16307407407407407,0.12578048780487805,1.7551463414634147,0.17475903614457833,0.2802826086956522,0.4820625,0.34845454545454546,17
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Average by Industry,0.737,0.111,0.35516666666666663,0.09480000000000001,0.28158333333333335,7.921038461538461,20.822760000000002,8.58892,8.965851851851852,12.919344827586206,0.08690909090909091,0.1459032258064516,0.2851290322580645,0.11993548387096775,0.3702727272727273,0.7229444444444445,0.091,17
Real Estate,Real Estate,Real Estate Management & Development,Average by Industry,0.5208709677419355,0.17958620689655172,0.11784375,0.4143611111111111,0.3208648648648649,0.04070270270270271,0.3225128205128205,0.5513095238095238,0.14135714285714285,0.14741304347826087,0.2154375,0.11354901960784314,2.648686274509804,0.2074423076923077,0.2299491525423729,0.33753333333333335,0.3742,17
