GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Information Technology,Software & Services,Software,UBIQUITY INC,,,,,,,,,,,,,,,0.049,,,1
Information Technology,Software & Services,Internet Software & Services,UBRANDIT.COM,0.848,,,,,,,,,,,,,,,,,1
Information Technology,Software & Services,Internet Software & Services,UDATE.COM INC,,0.392,1.76,,,,,,,,,,,,,,,2
Information Technology,Software & Services,Software,ULTICOM INC,1.347,0.667,0.107,0.235,0.648,,,,,0.128,,,,,,,,6
Information Technology,Software & Services,Software,ULTIMATE SOFTWARE GROUP INC,0.285,0.298,0.737,0.27,0.653,0.318,0.635,0.551,0.669,0.175,0.255,0.756,0.708,0.799,0.655,0.585,,16
Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,ULTRA CLEAN HOLDINGS INC,,,,0.105,0.93,0.209,0.914,0.817,0.67,0.082,0.512,0.444,0.061,0.319,0.625,0.936,,13
Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,ULTRATECH INC,0.9,0.187,0.195,0.318,0.534,0.391,0.132,0.055,0.28,0.285,0.839,0.311,0.527,0.374,0.095,0.095,,16
Information Technology,Software & Services,Internet Software & Services,UMEWORLD LTD,,,,,,,,,,,,,,,0.667,0,,2
Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",UNI-PIXEL INC,,,,,,,,,,0,0.029,21.296,0.819,10.796,0.083,0.073,,7
Information Technology,Software & Services,Software,UNICA CORP,,,,,1.386,1.04,0.841,1.438,0.6,0.532,,,,,,,,6
Information Technology,Software & Services,Internet Software & Services,UNIFIEDONLINE INC,,,,,,,,,,,,0.327,1.775,0.046,0.058,0.027,,5
Information Technology,Software & Services,Software,UNIGRAPHICS SOLUTIONS INC,0.507,,,,,,,,,,,,,,,,,1
Information Technology,Software & Services,IT Services,UNISYS CORP,0.319,0.322,0.367,0.412,0.323,0.264,0.181,0.227,0.231,0.166,0.281,0.192,0.21,0.268,0.305,0.294,0.211,17
Information Technology,Software & Services,Internet Software & Services,UNITED ONLINE INC,1.146,0.14,0.051,0.363,1.085,0.802,0.735,0.744,0.503,0.424,0.429,0.384,0.285,0.184,0.558,0.249,,16
Information Technology,Software & Services,Software,UNITED SYSTEMS TECHNOLOGY,0.379,0.303,0.491,0.907,0.138,,,,,,,,,,,,,5
Information Technology,Software & Services,Software,UNITRONIX CORP,2.429,0,0,0,,,,,,,,,,,,,,4
Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",UNIVERSAL DETECTION TECHNOL,0,0,0,,23,0.193,0,0,0,0,0.231,0.2,0,0,0,0,,15
Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",UNIVERSAL DISPLAY CORP,0.313,0.377,0.221,0.207,2.1,0.592,0.173,0.087,0.094,0.02,0.033,0.27,0.251,0.399,0.413,0.256,,16
Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",UNIVERSAL SECURITY INSTRUMNT,0.03,0.006,0.056,0.075,0.234,0.11,18.226,0.01,1.308,0.016,0.327,0.049,0.068,0.217,0,0,,16
Information Technology,Software & Services,Internet Software & Services,UPHONIA INC,0.841,0.812,0.049,0,,,,,,,,,,,,,,4
