GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),HCP INC,1.065,0.895,0.975,0.945,1.04,1.02,0.58,0.67,0.77,0.25,0.93,1.28,1.83,1.97,1.94,-1.21,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),HEALTHCARE REALTY TRUST INC,1.85,1.84,1.57,1.68,1.14,0.8,0.76,0.35,0.35,0.48,0.06,-0.04,0.1,-0.13,0.35,0.59,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),HEALTHCARE TRUST OF AMERICA,,,,,,,,,,,-0.1,0.04,-0.22,0.2,0.38,0.26,,6
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),HERSHA HOSPITALITY TRUST,1.48,1.48,1.28,0.68,0.2,0.04,-0.12,0.88,-1.44,-3.24,-0.64,-0.24,-0.04,0.08,1.08,0.56,,16
Real Estate,Real Estate,Real Estate Management & Development,HFF INC,,,,,1.96,3.27,3.6,0.91,0.01,-0.05,0.4,1.12,1.19,1.38,1.62,2.21,,12
Real Estate,Real Estate,Real Estate Management & Development,HH BIOTECHNOLOGY HOLDINGS CO,,,,,,,,,,,,,,,-0.37,0.18,,2
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),HIGHWOODS PROPERTIES INC,1.78,1.85,0.75,0.12,0.12,-0.01,0.32,0.7,0.05,0.43,0.86,0.49,0.6,0.67,1.2,0.84,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),HMG COURTLAND PROPERTIES,3.71,-0.62,-1.44,0.17,1.39,-0.37,-0.64,-0.43,-1.58,-0.08,-1.31,-0.93,-0.88,-1.16,0.22,-1.02,,16
Real Estate,Real Estate,Real Estate Management & Development,HOLIDAY ISLAND HOLDINGS INC,,,,,-600.601,,-300.3,-300.3,0,-300.3,-300.3,-300.3,,,,,,12
Real Estate,Real Estate,Real Estate Management & Development,HOLOBEAM INC,0.68,0.58,0.58,0.74,0.68,1.78,1.37,1.31,,,,,,,,,,8
Real Estate,Real Estate,Real Estate Management & Development,HOMEFED CORP,-0.6,-0.2,-1.8,9.08,4.46,3.85,2.08,0.82,-1.21,0.36,0.45,0.57,0.76,1.43,0.29,0.38,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),HOSPITALITY PROPERTIES TRUST,2.11,2.12,2.18,3.57,1.72,1.75,2.2,2.16,1.11,1.51,-0.07,1.3,0.84,0.73,1.18,0.97,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),HOST HOTELS & RESORTS INC,0.65,0.09,-0.24,-0.92,-0.31,0.3,0.6,1.04,0.75,-0.43,-0.2,-0.01,0.02,0.27,0.97,0.74,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),HOST HOTELS & RESORTS LP,,,,,,,,1.05,0.76,-0.42,-0.21,-0.01,0.02,0.28,0.99,0.76,,9
Real Estate,Real Estate,Real Estate Management & Development,HOWARD HUGHES CORP,,,,,,,,,-0.48,-18.91,-1.85,3.88,-3.36,-1.87,-0.6,3.21,,8
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),HUDSON PACIFIC PPTYS INC,,,,,,,,,-0.08,0,-0.15,-0.35,-0.41,-0.2,0.15,-0.19,,8
Real Estate,Real Estate,Real Estate Management & Development,HUNTWICKE CAPITAL GROUP INC,,,,,,,,,,,,,0,-0.11,-0.1,-0.1,,4
Real Estate,Real Estate,Real Estate Management & Development,INCOME OPPORTUNITY RLTY INVS,3.677,-0.773,-1.063,-0.01,0.01,0.33,0.04,-0.19,3.04,0.22,0.44,0.24,0.38,1.33,0.37,0.36,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),INDEPENDENCE REALTY TRUST,,,,,,,,,,,,-0.01,-0.01,0.06,0.14,0.78,,5
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),INFRAREIT INC,,,,,,,,,,,,,0.28,0.73,0.52,0.3,,4
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),INNSUITES HOSPITALITY TR,-1.12,-1.51,-1.67,-1.27,0.45,0.06,-0.01,0.12,-0.07,-0.12,-0.23,-0.13,-0.12,-0.12,-0.25,-0.22,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),INSPIRED BUILDERS INC,,,,,,,,,,,,-0.01,-0.02,-0.01,-0.03,-0.03,,5
Real Estate,Real Estate,Real Estate Management & Development,INTERGROUP CORP,5.833,-0.873,-1.507,0.95,1.22,-2.68,-1.05,-1.66,-1.24,0.09,-1.12,2.76,-1.35,-0.3,-1.98,1.23,-2.99,17
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),INVESTORS REAL ESTATE TRUST,0.38,0.42,0.35,0.23,0.14,0.14,0.18,0.17,0.11,0.03,0.02,0.07,0.11,-0.28,0.11,0.08,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),IRON MOUNTAIN INC,-0.139,-0.175,0.351,0.44,0.487,0.58,0.653,0.77,0.41,1.09,-0.27,1.24,1.04,0.51,1.67,0.58,,16
Real Estate,Real Estate,Real Estate Management & Development,IRSA INVERSIONES Y REP  -GDR,0.247,-1.282,-6.066,4.9,1.31,1.27,0.81,0.78,0.33,0.72,1.47,1.19,1.07,0.76,-1.68,-0.08,-0.81,17
Real Estate,Real Estate,Real Estate Management & Development,IRSA PROPIEDADES CMRCLS -ADR,,,-0.64,1.5,0.35,0.59,0.74,1.06,1.36,-0.3,1.55,2.25,2.31,1.95,1.47,2.02,1.74,15
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),ISTAR INC,2.11,2.26,2.07,2.45,1.31,2.06,2.6,1.3,-2.56,-7.89,-2.6,-0.94,-3.35,-2.09,-0.4,-0.62,,16
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),JERNIGAN CAPITAL INC,,,,,,,,,,,,,,,,-0.51,,1
Real Estate,Real Estate,Real Estate Management & Development,JONES LANG LASALLE INC,-1.72,-0.51,0.85,1.17,2.08,3.29,5.47,8.01,2.52,-0.11,3.63,3.8,4.73,6.09,8.63,9.75,,16
Real Estate,Real Estate,Real Estate Management & Development,KAANAPALI LAND LLC,,,,,,,,,,,-2.22,-3.69,-0.23,-1.61,-0.82,-1.91,,6
Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),KBS REIT II INC,,,,,,,,,-0.33,0.2,0.04,0.11,0.24,0.29,2.33,0.1,,8
Real Estate,Real Estate,Real Estate Management & Development,KENNEDY-WILSON HOLDINGS INC,0.137,0.071,0.174,0.174,0.197,,,,,-0.37,-0.03,-0.06,-0.07,-0.21,0.14,0.66,,12
