GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,ActiveYears
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BELL CANADA INTL INC,253.061,-515.717,-11.08,-0.74,1.07,-1.41,0.09,,,,,,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BELLSOUTH CORP,2.25,1.37,1.45,1.94,1.85,1.6,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,BIPER SA DE CV  -ADR,-0.15,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,BOINGO WIRELESS INC,,,,,,,,,,0.03,0.49,0.19,0.21,-0.11,-0.55,-0.6,,7
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,BOSTON COMMUNICATIONS GROUP,0.22,0.05,0.2,0.9,0.96,-3.07,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BRASIL TELECOM PART  -ADR,1.12,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BROADBAND WIRELESS INTL CORP,-0.009,-0.009,0,,,,,,,,,,,,,,,3
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BROADCAST INTERNATIONAL INC,-5,-3.9,-2.6,-0.2,-0.85,-0.26,-0.56,-0.85,-0.32,-0.34,-0.43,0.02,0.02,-0.02,,,,14
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BROADVIEW NETWORKS HLDG INC,,,,,,,,-23.09,-11.03,-8.85,,,,,,,,3
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BROADWING CORP,-18,-39.4,-13,-6,-2.86,-1.83,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BT GROUP PLC  -ADR,-1.965,0.855,2.46,1.51,2.02,1.6,3.385,2.135,-0.08,1.01,1.555,2.06,2.03,2.145,1.97,2.16,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,BTI TELECOM CORP,-0.97,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CA NAC TELEFONOS VENEZ  -ADR,-0.52,0.8,0.39,0.17,1.44,0.9,4.74,,,,,,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CABLE & WIRELESS PLC  -ADR,4.1,-8.01,-13.28,-0.56,0.74,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CALL-NET ENTERPRISES  -CL B,-66.6,-194.6,-3.97,-0.99,-1.83,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CAPSULE COMMUNICATIONS INC,-0.22,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CARDINAL COMMUNICATIONS INC,-48,-4.8,-2.4,-1.2,-3.3,-1.2,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CARRIER1 INTL SA  -ADR,-0.53,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CBEYOND INC,,,,-1.18,-0.46,0.14,0.29,0.77,0.13,-0.08,-0.06,-0.27,-0.08,-0.36,,,,11
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CELEXPRESS INC,-2.22,-0.75,-0.79,-0.15,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,CELLCOM ISRAEL LTD,,,,,1.46,1.08,1.26,2.32,2.65,3.17,3.67,2.18,1.43,0.83,0.9,0.24,,12
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,CENTENNIAL COMMUN CP  -CL A,1.97,-0.81,-1.17,-0.23,0.19,0.19,0.07,0.26,0.62,,,,,,,,,9
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CENTURYLINK INC,1.65,2.43,1.34,2.4,2.45,2.55,3.17,3.82,3.57,2.55,3.13,1.07,1.25,-0.4,1.36,1.58,,16
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,CHADMOORE WIRELESS GROUP INC,-0.41,-0.28,,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,CHINA MOBILE LTD  -ADR,0.76,0.91,1.03,1.09,1.29,1.68,2.13,2.98,4.13,4.2,4.52,4.98,5.16,5,4.34,4.09,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHINA NETCOM GROUP CORP -ADR,,,,-0.24,3.96,5.22,4.32,4.72,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHINA PRINTING INC,-2.1,-2.4,-0.9,-0.3,-1.5,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHINA TELECOM CORP LTD  -ADR,,,2.94,3.94,4.29,4.27,4.3,4,0.15,2.61,2.96,3.24,2.96,3.58,3.52,3.83,,14
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHINA UNICOM (HONG KONG)-ADR,0.35,0.43,0.44,0.41,0.42,0.49,0.38,0.98,0.4,0.59,0.25,0.28,0.48,0.73,0.81,0.68,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHOICE ONE COMMUNICATION INC,-7.11,-7.23,-11.5,-2.75,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHORUS COMMUNICATION GRP LTD,0.03,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CHUNGHWA TELECOM CO  -ADR,,0.11,0.158,1.746,2.013,1.273,1.645,1.954,2.125,1.939,2.1,2,1.77,1.79,1.58,1.68,,15
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CIBL INC,,,,,,,,,,,,,,647.71,-2.54,0.26,,3
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CINCINNATI BELL INC,-9.1,-6.8,-55.9,27.2,1.1,-1.5,1.55,1.25,1.95,1.85,0.45,0.2,0,-1.6,1.55,6.7,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CITIZENS COMMUN  -PRO FORMA,,,,,,0.46,0.55,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,CLEARWIRE CORP,,,,,,,,,,-1.72,-2.19,-2.7,-1.01,,,,,4
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,CLEARWIRE CORP-OLD,,,,,,,-1.76,-4.46,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,COGENT COMMUNICATIONS HLDGS,-17,-129.6,-616.4,229.2,-175,-1.96,-1.16,-0.65,0.6,-0.39,0.01,0.17,-0.09,1.22,0.02,0.11,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,COLT TELECOM GROUP PLC  -ADR,-1.02,-2.81,-3.08,-0.59,-0.58,-1.53,,,,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,COMMONWLTH TELE ENTER,-2.46,1.86,2.44,2.54,2.91,3.24,3.95,,,,,,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,COMPANIA TELECOM CHILE  -ADS,-0.81,0.03,-0.1,0.07,2.33,0.2,0.18,0.09,0.32,,,,,,,,,9
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,COMPLETEL EUROPE NV,-844.198,,7.72,,,,,,,,,,,,,,,3
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CONESTOGA ENTERPRISES,0.33,-1.12,,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CONSOLIDATED COMM HLDGS INC,,,,-0.33,-1.79,-0.83,0.48,0.44,0.18,0.84,1.09,0.88,0.15,0.73,0.35,-0.02,,13
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CORDIA CORP,-0.3,-0.3,-0.26,-0.14,-0.04,0.23,-0.55,-0.67,,,,,,,,,,8
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,COSMOTE MOBILE TELECOMM -ADR,,,,1.94,2.52,2.42,2.85,3.15,3.9,,,,,,,,,6
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,COVAD COMMUNICATIONS GROUP,-9.41,-3.89,-0.84,-0.5,-0.24,-0.06,-0.05,-0.14,,,,,,,,,,8
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,COVISTA COMMUNICATIONS INC,-1.18,-1.17,-0.71,-0.05,-0.3,,,,,,,,,,,,,5
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CROSSWAVE COMMUN INC  -ADR,-9.3,-10.1,-12.36,,,,,,,,,,,,,,,3
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CT COMMUNICATIONS INC,2.16,0.01,0.72,1.08,0.78,0.77,3.69,,,,,,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CTC COMMUNICATIONS GROUP INC,-3.08,-5.34,,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,CYPRESS COMMUNICATIONS INC,-36.6,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,D & E COMMUNICATIONS INC,-1.45,0.55,-0.58,0.25,-0.18,0.96,0.57,0.74,-0.76,,,,,,,,,9
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,DATA CRITICAL CORP,-1.2,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,DAVEL COMMUNICATIONS INC,-10.02,-3.89,0.56,-0.08,,,,,,,,,,,,,,4
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,DBS INDUSTRIES INC,-0.44,-0.23,,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,DELTATHREE INC,-1.67,-1.23,-0.42,-0.29,-0.11,-0.03,0.02,-0.29,-0.36,-0.05,-0.03,-0.04,-0.02,-0.03,-0.03,,,15
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,DEUTSCHE TELEKOM AG  -ADR,1.84,-0.83,-6.14,0.38,1.49,1.55,0.98,0.19,0.47,0.11,0.52,0.17,-1.61,0.29,0.79,0.77,,16
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,DIGERATI TECHNOLOGIES INC,,,,,-840.616,154.094,-13.799,2.3,1.15,-4.6,-1.15,-3.45,-2.3,-0.62,-1.47,-0.27,-0.22,17
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,DIGITEC 2000 INC,-0.64,-0.46,,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,DOBSON COMMUNICATIONS CORP,-2.81,-2.29,-1.3,1.17,-0.45,-0.9,0.02,,,,,,,,,,,7
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,DTVN HOLDINGS INC,-0.06,-0.61,,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,E SPIRE COMMUNICATIONS INC,-7.05,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,EAGLETECH COMMUNICATIONS INC,-0.43,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,EIRCOM  PLC  -ADR,0.13,,,,,,,,,,,,,,,,,1
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,ELECTRIC LIGHTWAVE  -CL A,-2.7,-3.37,,,,,,,,,,,,,,,,2
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,EMBARQ CORP,,,,,6.15,6,5.26,4.5,5.27,,,,,,,,,5
